"cell_type","MonocyteScore","ResidentScore"
"Macrophage_Kupffer",-0.51118754137314,-0.317022545602727
"S100A8hi_macrophage",0.00330811782045748,-0.195468343792128
"Macrophage_Kupffer",-0.01068601744095,-0.28338610061246
"Macrophage_Kupffer",-0.468639166643322,-0.0473280953991521
"Macrophage_Kupffer",0.494415504622904,-0.182980532449173
"Macrophage_Kupffer",0.330638318411189,-0.278208436562153
"Neutrophil",0.949155672734651,-0.0518545588130259
"Macrophage_Kupffer",0.963704056714721,-0.21344234014731
"Macrophage_Kupffer",0.0121646240968865,2.85884535918417
"Macrophage_Kupffer",1.16050863248986,-0.301165031478925
"Macrophage_Kupffer",-0.633527922003315,2.23417374371478
"Macrophage_Kupffer",1.4676697704164,-0.345073621406091
"Macrophage_Kupffer",-0.257874220969624,1.11322277878272
"Macrophage_Kupffer",-0.132419096250732,-0.245572561722674
"Macrophage_Kupffer",-0.290678727431463,-0.307598006637122
"S100A8hi_macrophage",-0.493203673937,-0.235250856616602
"S100A8hi_macrophage",-0.392141546748394,0.215988162371537
"Macrophage_Kupffer",0.231291624768838,0.599627634367382
"Macrophage_Kupffer",-0.282505238326758,1.85485822480239
"Macrophage_Kupffer",0.00189769778220056,-0.344373111626302
"S100A8hi_macrophage",0.0269242122377241,-0.13139782868884
"S100A8hi_macrophage",-0.36295942405302,-0.19022327373335
"Macrophage_Kupffer",-0.330189145401887,1.11094603291513
"S100A8hi_macrophage",-0.0411733035791134,0.106391268064387
"Macrophage_Kupffer",1.06726988802508,-0.309962949163922
"Neutrophil",0.786369542942554,-0.149960447485311
"S100A8hi_macrophage",0.178852692145496,-0.213919049045954
"Macrophage_Kupffer",-0.148884145496457,-0.326334699454249
"Macrophage_Kupffer",-0.333219235354357,1.01618411879476
"S100A8hi_macrophage",0.90641355928229,-0.131651589698482
"Macrophage_Kupffer",0.199015169536741,2.25148430474908
"Macrophage_Kupffer",2.43961232373965,-0.262606257568452
"S100A8hi_macrophage",0.0862167149867254,-0.189956881903162
"Macrophage_Kupffer",2.38157299082072,-0.280403186942651
"Macrophage_Kupffer",-0.0874140394744236,0.157767596513592
"Macrophage_Kupffer",-0.531456977583164,2.41166643856648
"Macrophage_Kupffer",0.151171657255412,-0.346911022442908
"S100A8hi_macrophage",0.206672079766324,-0.229449735376947
"Neutrophil",1.00448448072417,-0.232361253773608
"Macrophage_Kupffer",-0.24939074322191,-0.231257015233731
"Macrophage_Kupffer",1.07348087896816,-0.158094712147936
"Macrophage_Kupffer",-0.299645273906272,1.29868288917944
"Macrophage_Kupffer",-0.145792327235831,0.274391014035066
"Macrophage_Kupffer",-0.281634952422976,1.78355047161108
"Macrophage_Kupffer",0.0785677848258081,-0.307576324479426
"Neutrophil",0.53143215140109,-0.198300894336819
"Macrophage_Kupffer",-0.182161541750654,-0.367641150297381
"Macrophage_Kupffer",-0.296340234217506,1.16235587275631
"Macrophage_Kupffer",-0.27698730621745,2.47603391911181
"Macrophage_Kupffer",-0.0450348906707966,-0.14381165407996
"Macrophage_Kupffer",0.203649017072866,-0.312649276123004
"Macrophage_Kupffer",-0.424379705794229,2.23184031838166
"S100A8hi_macrophage",-0.35399694557202,0.240170209648057
