"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.22820635425729e-18,1.01254315043108,0.672,0.19,1.19170500382359e-13,"24","Nrp2"
6.36493470293069e-18,1.978214146586,0.508,0.137,1.21786660605876e-13,"24","Rras"
6.6658039333762e-18,1.4347412344042,0.557,0.15,1.2754349246122e-13,"24","Csrp2"
6.78262602564969e-18,1.05952913361357,1,0.786,1.29778766374781e-13,"24","Itm2b"
7.98655740748324e-18,1.60897974936834,0.59,0.18,1.52814789434784e-13,"24","Rab12"
8.1636886443742e-18,2.36720936549369,0.279,0.046,1.56204018521456e-13,"24","Vangl1"
9.08232303526076e-18,1.30725343344977,0.738,0.263,1.73781168956679e-13,"24","Exoc5"
9.26998676480036e-18,1.33892089970052,0.59,0.17,1.7737192675769e-13,"24","Pcmtd2"
9.46699721382122e-18,1.68150287730956,0.393,0.084,1.81141524689255e-13,"24","Ipo11"
9.56091493324738e-18,0.730815927579852,0.82,0.264,1.82938546332755e-13,"24","Plxnc1"
9.80878002569639e-18,1.63864440832008,0.705,0.252,1.87681197011675e-13,"24","Apc"
9.86046782071025e-18,1.54669650055783,0.656,0.22,1.8867019128147e-13,"24","Pea15a"
1.08363751487834e-17,1.63844215522704,0.525,0.145,2.07343202096821e-13,"24","Ceacam1"
1.09898468865959e-17,1.56273321813327,0.754,0.298,2.10279730328127e-13,"24","Strn3"
1.13106347721425e-17,1.62984085588971,0.541,0.15,2.16417685730175e-13,"24","Kctd20"
1.25395914371738e-17,1.67776316419278,0.59,0.177,2.39932542558884e-13,"24","Tmem245"
1.46655234150829e-17,1.31509564990406,0.508,0.128,2.80610125024196e-13,"24","Gm4951"
1.4822475770703e-17,1.67082640436383,0.475,0.119,2.83613251396632e-13,"24","Tlnrd1"
1.67859848755823e-17,1.42002571153148,0.803,0.358,3.21183034609391e-13,"24","Nisch"
2.19673694131999e-17,1.65331171381006,0.672,0.23,4.20323646352166e-13,"24","Add1"
2.40890788468414e-17,0.892773836986237,0.77,0.247,4.60920434655464e-13,"24","Slc29a1"
2.44928774945088e-17,1.25187550798095,0.967,0.532,4.68646717979931e-13,"24","Txnip"
2.45715710306882e-17,2.03803470142332,0.459,0.119,4.70152440101188e-13,"24","Nt5c3"
