"cluster","gene","avg_log2FC","p_val_adj"
"B_cell","A630001G21Rik",3.02876892462625,3.04617879700108e-211
"B_cell","Nfatc3",1.96575345127077,6.47843675850275e-210
"B_cell","Rpl22",0.883535309685177,8.26244986973861e-210
"B_cell","Celf2",1.21279406788835,4.0334554324638e-207
"B_cell","Map3k1",2.04912283599353,3.2977567307233e-206
"B_cell","Smap2",1.72848093478839,4.83438300215664e-205
"B_cell","Rps11",0.796053129853159,1.49768436476994e-202
"B_cell","Kmt2e",1.41765224873931,6.84262303733573e-202
"B_cell","St6gal1",2.53038410798263,2.21484566355366e-201
"B_cell","Pde7a",1.89087350041378,3.2082835302807e-199
"B_cell","Ptprc",0.69549033064368,2.90991005351554e-198
"B_cell","Tnfrsf13b",2.75280644029073,9.61553141607915e-195
"B_cell","Slc12a6",1.86173870093278,1.68387679979507e-193
"B_cell","Brwd1",2.14235368476406,3.06991627868878e-193
"B_cell","Cd274",1.94560734916178,6.86681102360206e-193
"B_cell","Pik3ip1",2.9920300940438,1.10773620292677e-192
"B_cell","Med13",1.77459076661769,2.81921808056588e-192
"B_cell","Plekha2",2.24245960587498,4.47427978743676e-192
"B_cell","Ddx6",1.19148620040638,9.90553938342327e-191
"B_cell","Tmsb10",0.521651859953417,1.5111801681641e-188
"B_cell","Lbh",1.71618561389335,4.08289954154053e-188
"B_cell","N4bp2",2.38985093000219,4.19917811361163e-185
"B_cell","Chd2",1.65195960916551,4.21945869237782e-185
"B_cell","Etnk1",1.67426342860544,5.25365179604366e-183
"B_cell","Klf6",1.08551715112727,6.27613842459298e-183
"B_cell","Rbm39",0.894186087036331,1.88187810544161e-182
"B_cell","Ccnl1",1.07878745207471,2.35698565778005e-182
"B_cell","Camk2d",1.5680823129705,7.87198958333162e-182
"B_cell","Tmem131l",2.42210537169845,1.90105460621181e-181
"B_cell","Snx30",2.5321420756835,2.28809734164304e-181
"B_cell","Hist1h1c",1.87168359539989,2.43843253171978e-181
"B_cell","Pkig",2.15883771439373,8.50547791309154e-181
"B_cell","Smg1",1.66441087238378,1.57755341282311e-180
"B_cell","Dock2",1.39951756093664,1.20399923918168e-179
"B_cell","Inpp5d",1.72366297853228,1.28364884212534e-179
"B_cell","Tmod3",1.66708616742012,3.12655594628531e-179
"B_cell","Ppp3ca",1.33156316061533,3.81814011738426e-178
"B_cell","Slc4a7",2.29242279548748,4.3831852107199e-178
"B_cell","S1pr1",1.59202232776459,1.29573947975212e-176
"B_cell","Hip1r",2.59849652739101,2.25019414440742e-176
"B_cell","Jmjd1c",1.4885425349639,2.3308490513472e-176
"B_cell","Gpr174",2.57404035903496,6.17645861035839e-176
"B_cell","Tra2a",1.21846994504432,7.6117762509962e-176
"B_cell","Irf8",0.535142250822982,5.72324515095195e-175
"B_cell","Ppp1r15a",1.40621521458296,2.97387537229218e-174
"B_cell","Phip",1.57811321189752,1.23608557925236e-173
"B_cell","Ly86",1.12181578039241,8.81757109796268e-173
"B_cell","Arhgdib",0.950839079958292,2.65272892563905e-172
"B_cell","Limd2",1.661036577378,5.37540968657607e-171
"B_cell","Filip1l",2.12283978079024,5.86439077321165e-171
"B_cell","Baz2b",1.77957143488503,4.91823542432721e-169
"B_cell","Strbp",2.01184736619279,5.22511050756538e-169
"B_cell","Tcf12",1.53404766176634,5.53273424701132e-169
"B_cell","Atp2a3",2.44250790645125,6.33921271369669e-169
"B_cell","Rpl36a",0.849862588958125,5.85743687604187e-168
"B_cell","Rpl23a",0.720096345726698,1.45824741559685e-166
"B_cell","Nr4a1",1.66541663285376,2.93549237661256e-166
"B_cell","Matr3",1.41554155563267,1.31203703259367e-165
"B_cell","Iqgap1",0.889066423350281,1.85446433736358e-163
"B_cell","Il2rg",1.61556182723093,7.57414831417046e-163
"B_cell","Abhd17b",1.90171280295425,1.21174335787102e-162
"B_cell","St8sia4",1.45231387713473,1.26911959071479e-161
"B_cell","Wdfy4",2.10918240217283,1.82528637789502e-161
"B_cell","Rps23",0.660617070049789,2.58839830822349e-161
"B_cell","Rack1",0.754239416468041,3.25808915285656e-160
"B_cell","Csnk1g3",1.70418264132184,2.23178787040428e-159
"B_cell","Rbbp6",1.59718468860331,2.47662929017849e-159
"B_cell","Pml",2.5251785003118,3.05426713317054e-157
"B_cell","Xylt1",2.48787780784537,6.9641382060216e-157
"B_cell","Clec2i",2.54003956637039,8.55120062739666e-157
"B_cell","2410006H16Rik",1.3816050961225,1.06883152907802e-153
"B_cell","Ifi209",2.14121608249345,8.2839402983695e-153
"B_cell","Parp1",1.99070851088682,9.47104879139293e-153
"B_cell","Rbm25",1.00097044163968,1.03567777986843e-152
"B_cell","Arid4b",1.65459536763785,1.35033961512909e-152
"B_cell","Ankrd11",1.16185412390071,1.46517492743942e-151
"B_cell","Glcci1",2.23577138869838,3.16673000511126e-151
"B_cell","Cirbp",1.92221882605995,8.61768530390436e-150
"B_cell","Kras",1.59157711054472,2.18535175345033e-147
"B_cell","Rpl41",0.547952286306161,4.58445818335648e-147
"B_cell","Pnisr",1.28168681703564,2.18473113086052e-146
"B_cell","Rpl3",0.771914537892941,1.5911887698511e-145
"B_cell","Rpl7",0.728539122248254,3.24008809624139e-145
"B_cell","Cd72",1.97412673765602,1.77042359778966e-144
"B_cell","Uba52",0.842915166388792,2.71817384287255e-144
"B_cell","Rpl14",0.795287403891635,3.2959039715685e-143
"B_cell","Mir142hg",2.21208776963211,7.03913536209784e-142
"B_cell","Foxo1",1.73562613792773,3.24846882368846e-141
"B_cell","Srsf5",0.902422339781921,3.82185801448608e-141
"B_cell","Itpr1",1.76339667481925,7.87052314219758e-141
"B_cell","Sorl1",1.55964212924426,5.91769544986645e-140
"B_cell","Sfpq",1.00190651446945,7.05868393892991e-140
"B_cell","Cyfip2",1.79672054631959,2.21441517017516e-139
"B_cell","Rpl11",0.650649634379783,1.507295589241e-138
"B_cell","Prpf38b",1.30413223477168,2.54234701606966e-137
"B_cell","Tec",2.28672016257718,5.14660747549596e-136
"B_cell","Klhl24",1.20228976301766,1.94388217642348e-135
"B_cell","Notch2",1.94429846847852,1.72739669059438e-134
"B_cell","Macf1",0.877752256926243,2.20715905637677e-134
"B_cell","Rpl6",0.63617128478686,4.96399648159934e-134
"B_cell","Snrpg",0.988311179786549,1.09762784743425e-133
"B_cell","Zfp869",1.91991006116736,1.5347191139651e-133
"B_cell","Zcchc7",1.59889761647148,5.15700827823784e-133
"B_cell","Ythdc1",1.17097002104292,1.01758556175256e-131
"B_cell","Nfkbid",1.88242996486886,2.14701929733294e-131
"B_cell","Snx5",1.14182946090822,2.72533662251176e-131
"B_cell","Cd53",0.806879686812662,3.09943679528908e-130
"B_cell","Cd52",0.543423633620114,4.15886484518009e-130
"B_cell","Gm43305",1.71456774180964,5.52854136077613e-130
"B_cell","Vars",2.38121667542954,1.24310167388762e-129
"B_cell","Rps17",0.673778539211261,3.20690281954319e-128
"B_cell","Il21r",2.31789496706967,5.87139001192666e-128
"B_cell","Junb",0.735415117204036,2.07447633549774e-127
"B_cell","Grap",1.82777047316422,2.34044612587917e-127
"B_cell","Arhgap30",1.37725884068083,6.37125058633188e-127
"B_cell","Rlim",1.53080470460395,1.26851180134362e-126
"B_cell","Atf4",1.27414638409273,1.37413227153916e-126
"B_cell","Rps27a",0.562442716048125,4.68800560104513e-126
"B_cell","Ankrd44",1.15305044386215,5.74248630249111e-125
"B_cell","Gpr171",2.33359695218717,6.2965740145717e-124
"B_cell","Dennd5b",1.26303864340958,3.41566563305932e-122
"B_cell","Rsrc2",1.07773990384923,3.68627022844619e-122
"B_cell","Bptf",1.30098356924733,6.25794066854687e-122
"B_cell","Sp100",1.13197276632298,9.82382407747704e-122
"B_cell","Zfp608",2.27423993108458,3.3193532389256e-121
"B_cell","Srrm2",0.808376221430064,4.13318163559239e-121
"B_cell","Lsp1",0.610024789045132,1.29236336491644e-120
"B_cell","Kdm7a",1.34247471577966,1.53843054675302e-117
"B_cell","Scaf11",1.23661524324994,2.0230374132493e-117
"B_cell","Sub1",0.865975826595822,1.46322072957976e-116
"B_cell","Ranbp2",1.40800613640494,1.41674704153065e-115
"B_cell","Gm20559",1.91233152365694,1.45218223728075e-115
"B_cell","Eif4a2",0.897297320075194,3.24149757336919e-114
"B_cell","Pold4",1.75186516762429,4.80542375396354e-114
"B_cell","1810026B05Rik",1.39718372585812,6.10557106272665e-114
"B_cell","Fli1",1.28048644807846,9.60924595638606e-114
"B_cell","Cd86",2.00392851164845,1.04839893823836e-113
"B_cell","Rac2",0.693491071086797,1.11738270810163e-112
"B_cell","Fgfr1op",2.38857018186513,7.78702441829684e-112
"B_cell","Rps27rt",1.5641505080271,3.15286711067235e-111
"B_cell","Aff4",1.37223633970323,2.57863052062532e-110
"B_cell","Ccdc88c",1.47179238876179,2.71759418398929e-109
"B_cell","Arhgap17",1.36162754680009,5.2047264160844e-109
"B_cell","Trim34a",2.17467235930548,5.3687557227829e-109
"B_cell","Ptk2b",1.49138245861075,9.53083454149161e-109
"B_cell","Msi2",1.33743011834065,1.97590556284346e-108
"B_cell","Gimap3",0.578956488896653,3.89268144995732e-108
"B_cell","Rapgef6",1.41120932160953,1.29812850828976e-106
"B_cell","4632427E13Rik",2.35714378734966,6.85569413039278e-106
"B_cell","Ubap2l",1.28018528470062,6.92135946279178e-106
"B_cell","Fubp1",1.31351471647145,6.51579674964176e-105
"B_cell","Gm26740",1.87924176908566,7.11803254212972e-105
"B_cell","Csk",1.38279227916227,3.10600005993004e-104
"B_cell","Ms4a4c",1.53997956309517,1.07441651729295e-103
"B_cell","Rpl4",0.67691875415707,3.09666758351564e-103
"B_cell","Tspan13",1.33114261491046,3.37244191398406e-103
"B_cell","Hnrnph1",0.869360804530676,8.65457491222514e-103
"B_cell","Dhx9",1.32902446663177,2.69404660464211e-102
"B_cell","Traf3ip3",2.11113455179132,7.30308982784961e-102
